sulfa	antibacterial
cephalosporin	antibiotic
basidiomycete	fungus
seminoma	carcinoma
acth	hormone
neurontin	anticonvulsant
egomaniac	egotist
neurotransmitter	neurochemical
seigneur	overlord
antiquary	expert
colonist	migrant
beefsteak	steak
european	inhabitant
claptrap	grandiosity
apocalypse	calamity
banksia	shrub
hireling	employee
receptiveness	willingness
sleight	adeptness
mifepristone	abortifacient
reformist	disputant
cornelian	chalcedony
kob	waterbuck
spirometry	measurement
emitter	electrode
concubinage	cohabitation
plagiarist	thief
quinacrine	antimalarial
kunzite	spodumene
reefer	cigarette
embalmer	mortician
cardinalate	clergy
strider	pedestrian
apomorphine	morphine
pleader	lawyer
pseudoephedrine	alkaloid
absolutist	disciple
livestock	placental
aardwolf	hyena
grifter	deceiver
videocassette	cassette
moniker	appellation
pessimist	skeptic
candelabrum	candlestick
hytrin	antihypertensive
narcosis	unconsciousness
lignin	polymer
bobcat	lynx
ethyl	alkyl
industrialist	businessman
bribery	felony
kidnapper	criminal
jaggery	carbohydrate
millrace	conduit
willpower	resoluteness
arbitrariness	irresponsibility
vasopressin	vasoconstrictor
gorgonzola	bleu
botanist	biologist
eosinophil	leukocyte
gnu	antelope
methyltestosterone	androgen
poinsettia	spurge
inulin	polysaccharide
elegy	poem
quagga	equine
cred	credibility
codefendant	defendant
postgraduate	collegian
melancholic	depressive
strumpet	adulterer
cryolite	mineral
companionship	friendship
scopolamine	alkaloid
portable	typewriter
tachograph	tachometer
hubris	arrogance
garibaldi	blouse
maleate	antidepressant
rna	polymer
shouter	communicator
demographic	statistic
demeanor	trait
botulinum	eubacteria
fentanyl	analgesic
daycare	childcare
missus	wife
broadsword	sword
valour	courage
disease	illness
pontiff	catholic
maestro	artist
collude	interact
quadruped	tetrapod
grazier	rancher
didanosine	antiviral
oenophile	appreciator
moroccan	african
fenland	wetland
extroversion	sociability
epiphyllum	cactus
phalarope	shorebird
depositor	investor
atropine	alkaloid
byzantine	asian
battleship	warship
docudrama	movie
grandson	grandchild
faithlessness	infidelity
tannoy	loudspeaker
workingman	employee
sunbather	idler
criminalise	forbid
bluenose	canadian
fogey	oldster
neomycin	antibiotic
paca	rodent
cordierite	mineral
apar	armadillo
opsin	protein
requester	applicant
sinner	wrongdoer
ferritin	protein
photocell	transducer
sputum	mucus
bihari	sanskrit
tallis	shawl
voyeurism	paraphilia
hrt	therapy
continent	landmass
pentoxide	oxide
copywriter	employee
ephedra	shrub
souvlaki	kabob
caribou	deer
chloramphenicol	antibiotic
impresario	booker
ecoterrorism	terrorism
perigee	periapsis
bhutani	asian
bombast	grandiosity
mynah	starling
greaser	mexican
handbasket	container
obduracy	resoluteness
slyness	shrewdness
reconciler	mediator
jasmine	shrub
scottie	terrier
silicosis	pneumoconiosis
hesitance	diffidence
quesadilla	burrito
communicant	christian
opportunism	selfishness
sentinel	watchman
polychaete	annelid
cannister	container
disparity	inequality
tremolite	asbestos
disarmament	demobilization
masseuse	massager
disenchanted	disappoint
prolactin	gonadotropin
deuterium	isotope
caragana	shrub
busybody	meddler
zhou	dynasty
urease	enzyme
prognostic	augury
wimple	headdress
rozelle	hibiscus
lockbox	strongbox
purveyor	supplier
jacobean	englishman
ennui	dissatisfaction
deoxyribose	carbohydrate
hexose	monosaccharide
laborer	workman
handbag	container
aggrandize	overstate
fitment	furniture
maleate	ester
quadriplegia	paralysis
brasserie	restaurant
salvinorin	hallucinogen
spodumene	mineral
hagiography	biography
nucleon	baryon
cassie	acacia
cheatgrass	brome
paperboard	cardboard
minnow	cyprinid
oca	oxalis
relaxin	hormone
majolica	earthenware
dioxide	oxide
contras	nicaraguan
hydralazine	vasodilator
morphine	analgesic
slovenian	european
monocot	angiosperm
tailplane	airfoil
mirasol	sunflower
commonplace	truism
decarboxylase	enzyme
lawbreaker	criminal
lolita	lass
disinformation	misinformation
quin	sibling
geostrategy	geopolitics
vaccine	immunogen
pissed	excrete
contextualism	doctrine
portent	augury
bryony	vine
pugilist	combatant
dubbin	tallow
celt	european
arbitrator	evaluator
harvestman	arachnid
dissatisfaction	discontentment
endotoxin	toxin
tocopherol	antioxidant
guyot	seamount
spinel	mineral
untrustworthiness	trait
bandit	thief
pharmacologist	pharmacist
arcus	cornea
halcion	benzodiazepine
bistro	restaurant
tux	formalwear
hostelry	hotel
congresswoman	legislator
pallbearer	mourner
naziism	fascism
larceny	felony
deportment	trait
adenosine	nucleoside
cooly	asian
blockhouse	stronghold
sphagnum	moss
gastroscopy	endoscopy
bicentenary	anniversary
dotterel	plover
antinomian	disciple
franklin	landowner
metonymy	trope
seb	bioweapon
trembler	coward
signalman	trainman
copolymer	polymer
hurler	ballplayer
licensee	retailer
willies	edginess
dismemberment	mutilation
zamia	cycad
kitchenette	kitchen
maalox	antacid
americana	artifact
paparazzo	photographer
sansevieria	agave
fet	transistor
galliano	liqueur
acidophilus	lactobacillus
pylorus	orifice
headscarf	kerchief
wallaby	kangaroo
frequenter	customer
emigre	migrant
conquistador	explorer
tce	ethylene
musette	bagpipe
couture	dressmaking
thetis	nereid
pheochromocytoma	tumor
euglena	protozoan
cider	beverage
ascidian	tunicate
pakistani	asian
transgene	gene
undies	lingerie
greasewood	shrub
raper	attacker
moonshiner	criminal
cytoplasm	protoplasm
vervet	guenon
phalangist	fascist
guinean	african
bumpkin	rustic
schlepper	simpleton
fuchsia	shrub
molasses	syrup
rima	orifice
psychologist	scientist
thespian	performer
interstate	highway
gunslinger	murderer
iud	contraceptive
cranesbill	geranium
performer	entertainer
comic	performer
essene	jew
laparoscopy	laparotomy
chewer	consumer
aerolite	meteorite
beryl	mineral
godmother	godparent
centurion	warrior
ddc	antiviral
proprietor	businessman
polymerase	enzyme
encephalartos	cycad
tannery	workplace
bromine	halogen
velodrome	racetrack
stepmother	stepparent
fibroid	fibroma
osteopath	therapist
nicotine	vasoconstrictor
hostage	prisoner
stepfather	stepparent
affirmative	avowal
satanist	disciple
laotian	asian
carapace	scute
revers	lapel
gully	valley
mineralocorticoid	corticosteroid
psychopath	neurotic
friary	monastery
pollute	dirty
chrysalis	pupa
subroutine	software
goldenrod	wildflower
gamekeeper	custodian
mylanta	antacid
beekeeper	farmer
absentee	traveler
emptor	customer
sadomasochism	sadism
niece	kinswoman
icosahedron	polyhedron
rosacea	acne
collectable	curio
mailman	deliveryman
bindweed	vine
quebecois	canadian
behaviorist	psychologist
lowbrow	plebeian
tsunami	calamity
schoolmistress	schoolteacher
musical	movie
trinitarian	disciple
ecotourism	tourism
emesis	reflex
bph	hyperplasia
cistercian	monk
astrology	pseudoscience
hyperboloid	quadric
underpants	undergarment
hewer	laborer
teratoma	tumor
staph	coccus
demonisation	disapprobation
messiah	savior
stinginess	trait
contrabassoon	bassoon
polyandry	polygamy
precision	exactness
dysphoria	discontentment
cassowary	ratite
anxiolytic	tranquilizer
biplane	airplane
hymnal	songbook
hallway	corridor
sheetrock	plasterboard
paddler	boatman
microbrewery	brewery
millpond	pond
wonderment	astonishment
pyrite	mineral
cafe	restaurant
hussy	adulterer
trivialise	understate
protease	enzyme
saleslady	salesperson
haircut	hairdo
patrolman	lawman
microtubule	tubule
lumbago	backache
purposefulness	meaningfulness
isoniazid	antibacterial
demiurge	deity
seafront	waterfront
hyrax	placental
mick	irishman
photocopier	duplicator
tues	weekday
fuller	workman
kurdistan	rug
marginalize	interact
ciprofloxacin	antibiotic
freeloader	borrower
moonstone	feldspar
polyurethane	polymer
ayah	domestic
recalcitrance	intractability
bijou	jewelry
tetrodotoxin	neurotoxin
briber	criminal
dormouse	rodent
aku	kwa
clothier	merchant
monetarist	economist
complainant	litigant
millenarian	optimist
smuggler	criminal
gaillardia	wildflower
monazite	mineral
fickleness	infidelity
yucca	shrub
freeholder	landowner
spironolactone	corticosteroid
octane	hydrocarbon
neutron	nucleon
apatosaurus	sauropod
acrylamide	amide
dexedrine	amphetamine
pantyhose	tights
signalman	signaler
cattleya	orchid
daydreamer	idler
polyamide	polymer
jewess	jew
kampuchean	asian
pseudoscience	fallacy
advertorial	ad
zirconia	oxide
highroad	highway
cebuano	philippine
stakeout	surveillance
phlogopite	mica
geodesy	geophysics
thruway	highway
sellers	merchant
looter	thief
spurge	shrub
pantry	storeroom
trivialize	understate
phototherapy	radiotherapy
appeaser	conciliator
grandpa	grandparent
eland	antelope
baptism	sacrament
cosmonaut	traveler
teen	juvenile
paranoia	psychosis
ancestress	ancestor
zabaglione	dessert
lipase	enzyme
geneticist	biologist
prebend	stipend
sentry	watchman
airedale	terrier
minah	starling
camelia	shrub
macoun	mcintosh
junkers	prussian
warner	communicator
precipice	cliff
pollster	inquirer
grantor	granter
monoclonal	antibody
granddaddy	grandparent
scrooge	hoarder
homesickness	nostalgia
scholia	marginalia
shawm	oboe
outlander	traveler
mydriasis	reflex
acetylation	acylation
agitator	troublemaker
aquarium	vivarium
maneuverability	mobility
pomeranian	spitz
lectin	glycoprotein
acetylcholine	neurotransmitter
hibiscus	mallow
lancaster	dynasty
escapist	daydreamer
mod	adolescent
nilgai	antelope
effendi	turk
moxie	fortitude
lymphedema	edema
gunnery	weaponry
hornblende	amphibole
endodontics	dentistry
morphia	opiate
arbitrageur	businessman
obscurantist	deceiver
adrenaline	neurotransmitter
adiposity	fatness
molester	wrongdoer
sportswoman	athlete
marathi	sanskrit
matchmaker	mediator
kimberlite	peridotite
recessive	allele
chorister	singer
cymry	european
theorist	intellectual
haptoglobin	protein
wormwood	subshrub
toxicology	pharmacology
sigmoidoscopy	endoscopy
streptokinase	enzyme
cytidine	nucleoside
modeler	creator
lexis	cognition
adman	publicist
lysol	cresol
youngster	juvenile
disciplinarian	authoritarian
civilian	citizen
thalidomide	teratogen
serb	slav
spode	porcelain
wadi	gully
ect	electrotherapy
bitumen	hydrocarbon
umayyad	dynasty
hn	explosive
prankster	troublemaker
permeability	porosity
slingshot	plaything
trypsin	enzyme
kenyan	african
cosmologist	astronomer
orbiter	equipment
pastis	liqueur
herbicide	chemical
paraprofessional	assistant
milkwort	subshrub
protein	macromolecule
tnf	cytokine
psilocin	hallucinogen
aileron	airfoil
unitarianism	protestantism
catclaw	shrub
burundian	african
parathion	insecticide
neutropenia	leukopenia
aldose	monosaccharide
bouffant	hairdo
phospholipid	lipid
spectrometer	spectroscope
cer	emotion
precognition	clairvoyance
pinhead	simpleton
jnr	son
zoologist	biologist
deliveryman	employee
silversword	shrub
wombat	marsupial
parader	pedestrian
aragonite	mineral
nigerian	african
granulocyte	leukocyte
hussite	disciple
anthropometry	measurement
monacan	european
igloo	hovel
anthurium	houseplant
verandah	porch
plaything	artifact
busker	entertainer
strad	violin
stonecrop	sedum
instructor	educator
mallow	shrub
cavy	rodent
atrazine	herbicide
cowrie	gastropod
cachexia	infirmity
theft	felony
aramean	semite
gullibility	naivete
choreographer	creator
colonoscopy	endoscopy
gritstone	sandstone
granddad	grandparent
scrumpy	cider
thriftiness	frugality
adsorption	sorption
marabout	stork
pyracantha	shrub
cataloguer	librarian
adulation	flattery
sambar	deer
anabaptism	protestantism
pangolin	placental
silica	oxide
suggestibility	susceptibility
dramamine	antiemetic
forebear	ancestor
babushka	headscarf
anus	orifice
beduin	nomad
citadel	stronghold
starship	spacecraft
tabbouleh	salad
centriole	organelle
goitre	disease
senegalese	african
dhal	shrub
vagrancy	homelessness
cretan	european
uke	guitar
dp	refugee
scattergood	prodigal
bannock	flatbread
wetback	mexican
overstated	misinform
monocyte	leukocyte
anatomist	expert
zambian	african
hydralazine	antihypertensive
hydrangea	shrub
facilitator	assistant
sculler	oarsman
newsreader	newscaster
totara	conifer
presbyterianism	protestantism
indiscipline	trait
lactobacillus	eubacteria
interrogator	inquirer
aminotransferase	transferase
lyrebird	passerine
stepson	stepchild
toyon	shrub
meningoencephalitis	meningitis
swineherd	herder
officiant	clergyman
asbestosis	pneumoconiosis
landscaper	architect
hoaxer	troublemaker
secularism	doctrine
emotionalism	trait
guestroom	bedroom
boredom	dissatisfaction
literati	intelligentsia
nazism	fascism
pub	tavern
wellness	wellbeing
hydrochlorothiazide	thiazide
russet	homespun
corynebacterium	eubacteria
assailant	wrongdoer
charterhouse	monastery
shareware	software
footman	manservant
blastocyst	blastula
ergotamine	alkaloid
sampan	skiff
sabra	israeli
ninny	simpleton
sensitive	psychic
guerilla	warrior
quirkiness	unfamiliarity
jihadist	muslim
tatou	armadillo
persuader	communicator
preemie	neonate
stopgap	expedient
falange	nazism
entailment	inference
nudibranch	gastropod
fluoride	halide
oligosaccharide	carbohydrate
strongroom	storeroom
cotoneaster	shrub
microelectronics	electronics
spathe	bract
quietist	mystic
philadelphus	shrub
ribosome	organelle
dissatisfied	displease
mauritanian	african
nostril	naris
gourmet	sensualist
landfill	lowland
calvados	brandy
documentary	movie
methyl	alkyl
trainman	employee
craven	coward
fibrin	protein
gonadotropin	hormone
igm	immunoglobulin
akan	kwa
activase	thrombolytic
hydromorphone	analgesic
pythium	fungus
accuser	disputant
audiocassette	cassette
australopithecine	hominid
laxative	purgative
granuloma	tumor
coxswain	helmsman
oxidase	enzyme
demeanour	trait
fusil	musket
critter	animal
expansionism	doctrine
sucrose	disaccharide
rioter	troublemaker
animist	disciple
carrel	alcove
encrypt	encode
unknowing	ignorance
sacredness	holiness
sulfonylurea	antidiabetic
balladeer	singer
rutile	mineral
executrix	executor
litoral	seashore
diazonium	cation
herbalist	therapist
plantsman	expert
xanax	benzodiazepine
salal	shrub
coumadin	anticoagulant
platypus	monotreme
tableland	highland
neuroethics	bioethics
hudood	shariah
glassware	tableware
br	halogen
husbandman	creator
ultima	syllable
importer	businessperson
diplodocus	dinosaur
fundamentalism	protestantism
microflora	microorganism
pharmacokinetics	pharmacology
doberman	pinscher
wife	spouse
bullfinch	finch
osteomyelitis	osteitis
pyroxene	mineral
succinctness	terseness
sensationalist	publicist
pariah	unfortunate
peeved	annoy
logrono	spain
freeman	citizen
nitroglycerine	vasodilator
saltbush	shrub
molter	animal
mediator	negotiator
algerian	african
commie	socialist
caff	cafe
subprogram	software
yobo	attacker
fetus	vertebrate
epigenesis	metamorphism
scepticism	unbelief
woodland	biome
diatom	alga
aviatrix	aviator
lensman	artist
sheepherder	herder
cosmogony	astrophysics
nigerien	african
tideland	seashore
heathland	barren
lander	spacecraft
eucharist	sacrament
demonization	disapprobation
cassette	container
testosterone	androgen
cutthroat	murderer
chromite	mineral
seaside	seashore
ranee	aristocrat
dutchman	european
impostor	deceiver
catholic	christian
bandicoot	marsupial
gasman	employee
homeopath	practitioner
immunotherapy	therapy
ldl	lipoprotein
atropine	antidote
arachnid	arthropod
sectarian	bigot
chaffinch	finch
diatom	phytoplankton
fallacy	misconception
paintbrush	applicator
alarmist	communicator
neckerchief	kerchief
cortisone	corticosteroid
bohemia	clique
caffeine	alkaloid
carotenoid	phytochemical
adrenalin	catecholamine
saviour	benefactor
reformism	doctrine
namibian	african
stupid	simpleton
misogynist	misanthrope
thrombophlebitis	phlebitis
woodcutter	laborer
invader	intruder
intrepidity	courage
arethusa	orchid
centrex	central
killdeer	plover
tearaway	daredevil
prevue	ad
kalmia	shrub
malvasia	vinifera
kwashiorkor	malnutrition
outlawed	forbid
parallelogram	quadrilateral
petrol	hydrocarbon
tailcoat	formalwear
toupee	hairpiece
ballplayer	athlete
stacker	laborer
meningoencephalitis	encephalitis
contortionist	acrobat
tine	prong
inh	antibacterial
zithromax	antibacterial
staffer	employee
meson	hadron
handedness	asymmetry
barytes	mineral
trilobite	arthropod
archduke	prince
spyware	software
spastic	paralytic
maoi	antidepressant
shyster	wrongdoer
safecracker	thief
teahouse	restaurant
sabayon	dessert
maven	expert
cricketer	athlete
deckhand	mariner
streptomycin	antibiotic
cambrian	european
leaver	migrant
naturist	individualist
antiperspirant	toiletry
butler	manservant
scarecrow	effigy
galago	lemur
chickadee	titmouse
pocked	deface
arraign	accuse
gunflint	flint
glaswegian	scot
serape	shawl
polytheism	theism
lego	plaything
loner	individualist
cutler	trader
nonproliferation	prevention
backpacker	hiker
gael	celt
spliff	cigarette
ethene	alkene
mediatrix	mediator
parisian	frenchman
symbology	ology
brassiere	undergarment
perpetrator	wrongdoer
endothelium	epithelium
foreleg	forelimb
tornillo	mesquite
gramicidin	antibiotic
ddt	pollutant
shlock	merchandise
molehill	knoll
sower	farmer
estimator	expert
warrener	gamekeeper
scrofula	tuberculosis
chemotherapy	therapy
angioedema	edema
maiolica	earthenware
indigence	poverty
bluejacket	serviceman
bacteriologist	biologist
progenitor	ancestor
paraplegia	paralysis
crustacean	arthropod
crockery	tableware
desperate	unfortunate
gofer	employee
sciatica	neuralgia
switcher	oppressor
transcend	excel
foetus	vertebrate
artemisia	shrub
egghead	intellectual
mickey	irishman
egret	heron
sperm	gamete
dosimetry	measurement
lipoma	tumor
materiel	equipment
absorbency	permeability
conspirator	criminal
bra	undergarment
morphine	opiate
coccus	eubacteria
reindeer	deer
inefficacy	ineffectiveness
unkindness	insensitivity
anglicanism	protestantism
applejack	brandy
landlady	landlord
giraffe	ruminant
atheist	disbeliever
fascist	rightist
woodcarver	woodworker
everyman	commoner
christ	savior
hudud	shariah
gasworks	workplace
adulterer	libertine
orthodontist	dentist
rheostat	resistor
murre	guillemot
lutheranism	protestantism
gastropod	mollusk
miner	laborer
terpene	hydrocarbon
claro	cigar
avocation	pastime
winterberry	holly
bakeshop	workplace
osteosarcoma	sarcoma
ativan	benzodiazepine
asian	inhabitant
episteme	cognition
aesthete	connoisseur
assessor	bureaucrat
aldosterone	mineralocorticoid
parapsychologist	psychologist
geomorphology	geophysics
discotheque	ballroom
prematurity	immaturity
mayflower	shrub
acetone	ketone
privet	shrub
clostridia	eubacteria
phony	deceiver
prisoner	unfortunate
colonic	enema
boatswain	mariner
sender	communicator
thatcher	roofer
absorbent	sorbent
thief	criminal
orangery	greenhouse
roue	libertine
croissant	bun
rundown	summary
candelabra	candlestick
holidaymaker	traveler
demography	sociology
affricate	obstruent
jammies	nightwear
storekeeper	merchant
frogman	explorer
cadet	trainee
bizarreness	unfamiliarity
supergrass	informer
cosmetologist	expert
bakery	workplace
jailbird	criminal
palliate	apologize
rasta	disciple
sudafed	vasoconstrictor
pityriasis	dermatosis
crooner	singer
somatotropin	hormone
backstairs	stairway
dace	cyprinid
seagrass	seaweed
undergraduate	collegian
devon	cattle
hobo	vagrant
signaller	communicator
gluten	protein
tearjerker	narrative
cremains	cadaver
woofer	loudspeaker
ecclesiastic	clergyman
technophile	fancier
jerboa	rodent
budgerigar	parakeet
obsequiousness	submissiveness
trimer	polymer
latte	espresso
fibrocartilage	cartilage
arsenopyrite	mineral
franciscan	friar
kaon	meson
underboss	assistant
paedophilia	paraphilia
nobelist	laureate
abalone	gastropod
lagan	wreckage
stabber	attacker
penknife	pocketknife
bacteria	microorganism
flammability	combustibility
lipid	macromolecule
faker	deceiver
policewoman	policeman
foreknowledge	clairvoyance
egyptologist	archeologist
ricin	toxin
islander	inhabitant
littoral	seashore
rapist	attacker
lunacy	insanity
exocrine	gland
dunkard	baptist
scag	heroin
mettle	courage
unruliness	intractability
astrophysicist	astronomer
nucleoside	glycoside
lorikeet	lory
redshank	sandpiper
bedroll	bedclothes
parson	clergyman
microbe	microorganism
monophysite	disciple
creditworthiness	trustworthiness
purist	pedant
springiness	elasticity
polysaccharide	carbohydrate
freon	chlorofluorocarbon
lingerie	underwear
glen	valley
overstate	misinform
gaelic	celtic
textile	artifact
motorcyclist	traveler
antiserum	serum
ebitda	income
logician	expert
guidebook	handbook
chlordiazepoxide	benzodiazepine
grisaille	chiaroscuro
romanism	catholicism
probiotic	bacteria
jinks	merrymaking
treater	communicator
stagehand	employee
waterbuck	antelope
polystyrene	styrene
batsman	ballplayer
manichean	disciple
pterodactyl	pterosaur
bvd	underwear
demean	humiliate
gesso	gypsum
candida	fungus
staphylococcus	coccus
dominie	clergyman
limekiln	kiln
disgruntlement	discontentment
trh	hormone
fertilizer	chemical
norepinephrine	catecholamine
stratigraphy	geology
costumer	couturier
angioma	tumor
phoney	deceiver
adrenaline	catecholamine
crafter	creator
zealander	dane
clambake	cookout
gasoline	hydrocarbon
ed	dysfunction
epinephrine	hormone
dockworker	laborer
balkans	european
mortgagee	creditor
manoeuvrability	mobility
alkalinity	ph
mendacity	untruthfulness
cardura	antihypertensive
allophone	phoneme
milquetoast	coward
matchlock	musket
counterpane	bedclothes
flotsam	wreckage
definiteness	predictability
preterist	theologian
breeder	stockman
friday	weekday
neurobiologist	biologist
ironclad	warship
peptide	amide
obsessive	neurotic
seller	merchant
acetyl	acyl
minion	dependant
allamanda	vine
kuwaiti	asian
spiv	idler
paleontologist	scientist
workbench	worktable
flavonoid	phytochemical
creamery	workplace
fsh	gonadotropin
overview	summary
betaine	alkaloid
biltong	jerky
warthog	swine
zoroastrian	disciple
grower	farmer
moss	bryophyte
seaboard	seashore
dendrobium	orchid
heroin	opiate
softener	chemical
jacobin	terrorist
milker	cattle
antitoxin	antibody
biped	animal
percolator	coffeepot
trioxide	oxide
stipendiary	magistrate
gradual	antiphon
cucurbit	cucurbitaceae
brawler	combatant
centipede	arthropod
ichneumon	mongoose
cholinesterase	enzyme
bonemeal	organic
frottage	masturbation
gout	arthritis
illiterate	ignoramus
lanai	veranda
evangelicalism	protestantism
israeli	asian
intractability	trait
mudder	racehorse
goiter	disease
mammillaria	cactus
angiotensin	vasoconstrictor
handyman	repairman
authoritarian	oppressor
heliotrope	chalcedony
akkadian	semitic
uncleanliness	trait
executor	fiduciary
naif	innocent
petticoat	undergarment
dichroism	pleochroism
trypsinogen	trypsin
tapeworm	flatworm
invitee	visitor
accomplice	assistant
pyrrhotite	mineral
castrato	singer
caduceus	insignia
hyoscyamine	alkaloid
adh	hormone
occupant	inhabitant
meany	oppressor
letterhead	stationery
lusatian	slavic
zeugma	trope
hubby	spouse
tradesman	merchant
tularemia	zoonosis
penultimate	syllable
protist	microorganism
crasher	intruder
retailer	merchant
roselle	hibiscus
labourer	workman
extenuating	apologize
burgomaster	mayor
nagi	conifer
caterer	supplier
disproportion	disparity
brythonic	celtic
dunnock	accentor
psychometrics	psychology
blain	sore
pederasty	homosexuality
homemaker	wife
infotainment	movie
avens	subshrub
malawian	african
organophosphate	insecticide
raper	criminal
prodigal	consumer
bullring	stadium
monk	religious
prince	aristocrat
milkmaid	farmhand
puffin	seabird
destitution	poverty
endorphin	neurochemical
berk	stupid
ukulele	guitar
hoya	vine
microeconomics	economics
serjeant	barrister
magnetics	geophysics
myna	starling
moistness	wetness
cossack	slav
onomastics	lexicology
messenger	traveler
ketchup	condiment
shiite	muslim
postman	deliveryman
bittern	heron
eeriness	unfamiliarity
irelander	european
burglary	felony
millerite	mineral
chopstick	tableware
camarilla	clique
pterygium	conjunctiva
acrobat	athlete
hexahedron	polyhedron
sardonyx	onyx
edo	nigerian
mycobacterium	eubacteria
victimisation	mistreatment
nibbler	biter
dinka	nilotic
virginal	harpsichord
rubella	measles
epic	poem
femininity	trait
finn	european
shipyard	workplace
nephron	tubule
cannery	factory
lecithin	phospholipid
claimant	applicant
admissibility	acceptability
econometrics	economics
grubby	sculpin
insincerity	untruthfulness
synthesist	intellectual
counterfeiter	deceiver
arioso	recitative
septicemia	sepsis
sorcerer	occultist
chalcocite	mineral
singaporean	asian
psychophysiology	psychology
headliner	performer
intercessor	negotiator
worse	bad
brewpub	restaurant
beachcomber	vagrant
noma	ulcer
cephalopod	mollusk
salver	tray
bronc	mustang
macroeconomics	economics
phenylephrine	adrenergic
disinterestedness	impartiality
iroquoian	amerind
loir	dormouse
guerrilla	warrior
cipro	antibiotic
lyssa	zoonosis
winger	athlete
sharper	swindler
passerby	pedestrian
obstructionist	disputant
gabapentin	anticonvulsant
camellia	shrub
congolese	african
redeployment	deployment
pentaerythritol	vasodilator
whippet	greyhound
grandad	grandparent
alcoholic	drunkard
conceptus	animal
guanaco	llama
spelunker	explorer
groupware	software
inculcation	indoctrination
cockiness	assertiveness
ostracod	crustacean
tetrafluoroethylene	fluorocarbon
bartender	employee
actinomycete	eubacteria
proletarian	commoner
megalomaniac	egotist
pepsin	enzyme
chloroquine	antimalarial
subwoofer	loudspeaker
taxonomist	biologist
dle	lupus
grosbeak	finch
isomerase	enzyme
manichaean	disciple
peacenik	pacifist
onyx	chalcedony
silicone	polymer
greenshank	sandpiper
kelt	european
paleobiology	paleontology
motile	perceiver
macrobiotics	dietetics
cinematographer	photographer
mesquite	shrub
midsummer	solstice
exporter	businessperson
fri	weekday
manger	container
fortitude	courage
decorum	propriety
oarsman	boatman
valedictory	oratory
pogrom	persecution
auntie	kinswoman
demagogy	entreaty
narc	lawman
penology	criminology
treponema	spirochete
kutch	tannin
ribonuclease	transferase
tiramisu	dessert
thistledown	pappus
wheelwright	wright
adolescent	juvenile
intuit	grok
wastrel	prodigal
thug	criminal
mennonite	anabaptist
glucocorticoid	hormone
disillusioning	disappoint
amontillado	sherry
hosier	shopkeeper
wastebasket	container
parisienne	parisian
defendant	litigant
thymosin	hormone
hippodrome	stadium
cyclooxygenase	enzyme
maharajah	prince
nihil	nothing
inosine	nucleoside
grecian	european
circular	ad
ddi	antiviral
preacher	clergyman
epicene	bisexual
spermicide	contraceptive
breathlessness	dyspnea
womanizer	libertine
dustman	hauler
pion	meson
airport	airfield
gymnast	athlete
amiodarone	antiarrhythmic
breadwinner	earner
timberland	biome
embezzlement	larceny
bondholder	investor
cajun	acadian
agronomist	expert
voyager	traveler
exegete	expert
aspirin	salicylate
epicureanism	doctrine
liana	vine
ulster	greatcoat
tortilla	pancake
arthropod	invertebrate
larva	animal
rentier	investor
monoamine	amine
mucuna	shrub
zill	cymbal
gunner	serviceman
rex	sovereign
skier	athlete
shabu	amphetamine
rathskeller	tavern
kopje	knoll
cataloger	librarian
antipasto	appetizer
oncogene	gene
pilocarpine	alkaloid
cheroot	cigar
freeway	highway
trainmaster	trainman
croat	slav
fleabag	hotel
firth	estuary
ethnologist	anthropologist
spokeswoman	spokesperson
psychopharmacology	pharmacology
chinaware	crockery
cornishman	englishman
auxiliary	assistant
disturber	troublemaker
stockholder	investor
nystatin	antifungal
herpetologist	zoologist
receptivity	willingness
plateau	highland
haj	pilgrimage
zircon	mineral
nostoc	cyanobacteria
odontoglossum	orchid
coelogyne	orchid
hitman	murderer
midazolam	benzodiazepine
salesman	salesperson
elope	flee
fortuneteller	forecaster
flintstone	flint
britisher	european
reserpine	antihypertensive
sunstroke	heatstroke
childbirth	parturition
pow	prisoner
guanosine	nucleoside
vengeance	retaliation
robitussin	expectorant
noncitizen	traveler
workaholic	compulsive
subcontinent	landmass
charr	salmonid
underling	assistant
radiopharmaceutical	pharmaceutical
calcination	oxidation
colliery	workplace
alar	chemical
norvasc	vasodilator
shallon	shrub
opal	mineral
lsd	hallucinogen
defecate	excrete
ismaili	disciple
kildeer	plover
afro	hairdo
minoxidil	vasodilator
cytogenetics	cytology
mitochondrion	organelle
lechwe	waterbuck
cytosol	cytoplasm
imam	muslim
syrian	asian
presbyopia	hyperopia
enzyme	protein
nimby	dissenter
cambodian	asian
acetaldehyde	aldehyde
dromedary	camel
mycologist	botanist
grandniece	niece
tweeter	loudspeaker
scoreboard	signboard
nsu	urethritis
saxon	european
ketoacidosis	acidosis
marshland	wetland
uptick	transaction
monarchist	rightist
bursar	treasurer
catchphrase	motto
unlikelihood	improbability
secular	commoner
rogaine	vasodilator
switchblade	pocketknife
gifted	enable
cfc	fluorocarbon
parishioner	churchgoer
centerfold	foldout
credo	doctrine
navvy	laborer
aristotelian	disciple
granger	creator
lilac	shrub
bronco	mustang
cryonics	cryobiology
preclusion	prevention
climatologist	expert
bandanna	handkerchief
tourmaline	mineral
reprisal	retaliation
scion	descendant
granddaughter	grandchild
bioterrorism	terrorism
cloisonne	enamelware
numidian	inhabitant
ipecac	emetic
immigrant	migrant
