fawn	young
sawfly	arthropod
sawfly	invertebrate
sawfly	animal
hawkweed	herb
hawkweed	plant
hawkweed	actor
hawkweed	performer
hawkweed	entertainer
conger	fish
sorceress	occultist
verdin	oscine
verdin	passerine
verdin	bird
verdin	vertebrate
verdin	chordate
verdin	animal
envoy	envoy
envoy	diplomat
anarchist	radical
coho	salmon
coho	fish
pogonia	flower
pogonia	angiosperm
pogonia	spermatophyte
pogonia	plant
pogonia	actor
pogonia	performer
pogonia	entertainer
pogonia	person
eyeful	woman
eyeful	female
water-shield	plant
water-shield	actor
water-shield	performer
water-shield	entertainer
water-shield	person
water-shield	organism
cholla	plant
cholla	actor
redberry	shrub
redberry	plant
redberry	actor
redberry	performer
redberry	entertainer
alligator	alligator
alligator	diapsid
alligator	reptile
schoolfriend	friend
schoolfriend	person
schoolfriend	organism
dacoit	capitalist
dacoit	conservative
dacoit	adult
dacoit	person
rorqual	placental
rorqual	mammal
rorqual	vertebrate
rorqual	chordate
rorqual	animal
blueberry	blueberry
sociopath	unfortunate
withholder	person
withholder	organism
geneticist	scientist
chigoe	organism
poseuse	person
poseuse	organism
emeritus	emeritus
emeritus	retiree
emeritus	nonworker
springer	springer
springer	cow
bartender	bartender
divorcee	woman
divorcee	female
pledger	adult
worm	worm
borage	herb
plantlet	plant
plantlet	actor
plantlet	performer
plantlet	entertainer
plantlet	person
plantlet	organism
tobacconist	merchant
tobacconist	businessperson
tobacconist	capitalist
tobacconist	conservative
tobacconist	adult
ordinary	ordinary
talipot	plant
talipot	actor
talipot	performer
talipot	entertainer
talipot	person
talipot	organism
forewoman	superior
forewoman	religious
forewoman	person
forewoman	organism
coydog	worker
coydog	person
coydog	organism
jassid	animal
jassid	organism
ex-wife	woman
ex-wife	female
trachodon	vertebrate
trachodon	chordate
trachodon	animal
trachodon	organism
drypis	person
drypis	organism
boatswain	mariner
boatswain	sailor
bladderpod	herb
bladderpod	plant
bladderpod	actor
bladderpod	performer
bladderpod	entertainer
odontoglossum	flower
odontoglossum	angiosperm
odontoglossum	spermatophyte
odontoglossum	plant
odontoglossum	actor
odontoglossum	performer
odontoglossum	entertainer
rockrose	shrub
rockrose	plant
rockrose	actor
rockrose	performer
rockrose	entertainer
claimant	claimant
tarwood	person
tarwood	organism
moonfish	fish
moonfish	vertebrate
moonfish	chordate
moonfish	animal
medusa	coelenterate
medusa	invertebrate
lemonwood	tree
lemonwood	plant
lemonwood	actor
lemonwood	performer
lemonwood	entertainer
lemonwood	person
mayor	mayor
rosita	subshrub
rosita	shrub
stippler	worker
stippler	person
stippler	organism
deipnosophist	communicator
deipnosophist	person
deipnosophist	organism
anecdotist	person
anecdotist	organism
subeditor	worker
subeditor	person
subeditor	organism
washwoman	worker
washwoman	person
washwoman	organism
peachick	animal
peachick	organism
clingfish	fish
clingfish	vertebrate
clingfish	chordate
clingfish	animal
clingfish	organism
expressionist	artist
expressionist	creator
roommate	roommate
giraffe	ruminant
pike	pike
vetchling	plant
vetchling	actor
vetchling	performer
vetchling	entertainer
hogchoker	vertebrate
hogchoker	chordate
hogchoker	animal
hogchoker	organism
coccobacillus	organism
dingo	canine
dingo	carnivore
dingo	predator
classifier	thinker
classifier	intellectual
alexic	person
alexic	organism
staggerer	person
staggerer	organism
allspice	tree
balsamroot	herb
balsamroot	plant
balsamroot	actor
balsamroot	performer
balsamroot	entertainer
balsamroot	person
balsamroot	organism
masseuse	expert
falangist	conservative
falangist	adult
falangist	person
falangist	organism
trailblazer	scout
trailblazer	expert
moonwort	plant
moonwort	actor
moonwort	performer
moonwort	entertainer
moonwort	person
gymnosophist	person
gymnosophist	organism
hackberry	tree
leptocephalus	animal
leptocephalus	organism
amaranth	herb
hoofer	performer
hoofer	entertainer
roridula	plant
roridula	actor
roridula	performer
roridula	entertainer
roridula	person
roridula	organism
hooker	hooker
hooker	golfer
marigold	flower
marigold	angiosperm
marigold	spermatophyte
sundowner	unfortunate
dichromat	person
dichromat	organism
konini	shrub
konini	plant
konini	actor
konini	performer
konini	entertainer
konini	person
konini	organism
love-in-winter	person
love-in-winter	organism
mullet	mullet
mullet	bottom-feeder
mullet	scavenger
achira	plant
achira	actor
achira	performer
achira	entertainer
achira	person
achira	organism
maniac	admirer
maniac	lover
refugee	refugee
refugee	exile
refugee	foreigner
refugee	stranger
refugee	intruder
conversationalist	speaker
conversationalist	articulator
conversationalist	communicator
louse	insect
louse	arthropod
louse	invertebrate
Brahman	bovine
Brahman	bovid
Brahman	ruminant
Brahman	ungulate
Brahman	placental
Brahman	mammal
Brahman	vertebrate
Brahman	chordate
Brahman	animal
heaver	workman
heaver	employee
heaver	worker
warden	warden
warden	lawman
warden	defender
warden	preserver
navigator	navigator
navigator	aircrewman
navigator	crewman
bulrush	plant
bulrush	actor
bulrush	performer
bulrush	entertainer
timothy	timothy
gooseberry	shrub
ratel	animal
kiwi	kiwi
kiwi	ratite
stegosaur	vertebrate
stegosaur	chordate
stegosaur	animal
stegosaur	organism
word-painter	person
word-painter	organism
totara	conifer
totara	tree
totara	plant
totara	actor
totara	performer
totara	entertainer
tackler	player
tackler	participant
tackler	associate
tackler	subordinate
tackler	assistant
porbeagle	expert
enchanter	occultist
loosestrife	subshrub
loosestrife	shrub
pessimist	intellectual
coelenterate	coelenterate
comfrey	herb
tyrannosaur	reptile
tyrannosaur	vertebrate
tyrannosaur	chordate
tyrannosaur	animal
churchwarden	official
Christian	Christian
goatfish	animal
toadflax	flower
toadflax	angiosperm
toadflax	spermatophyte
toadflax	plant
toadflax	actor
toadflax	performer
toadflax	entertainer
chiropodist	expert
footsteps-of-spring	person
footsteps-of-spring	organism
gatecrasher	intruder
rambutan	tree
rambutan	plant
rambutan	actor
rambutan	performer
rambutan	entertainer
catechumen	student
catechumen	enrollee
fitter	tailor
fitter	garmentmaker
fitter	needleworker
fitter	maker
fitter	creator
bracken	fern
bracken	pteridophyte
duckling	duck
duckling	waterfowl
duckling	bird
deacon	deacon
aunt	aunt
aunt	kinswoman
hawkmoth	insect
hawkmoth	arthropod
hawkmoth	invertebrate
hawkmoth	animal
pickaninny	person
pickaninny	organism
sceneshifter	worker
sceneshifter	person
sceneshifter	organism
bimbo	girl
bimbo	woman
nephew	nephew
nephew	kinsman
European	European
toast	toast
toast	celebrity
eider	duck
eider	waterfowl
eider	bird
eider	vertebrate
eider	chordate
nullifier	lawyer
nullifier	professional
nullifier	athlete
nullifier	contestant
importer	importer
chanar	plant
chanar	actor
chanar	performer
chanar	entertainer
chanar	person
chanar	organism
personality	personality
predecessor	predecessor
predecessor	precursor
pneumococcus	microorganism
ecologist	scientist
polemonium	herb
polemonium	plant
polemonium	actor
polemonium	performer
polemonium	entertainer
sodomite	wrongdoer
conservator	fiduciary
gaur	cattle
gaur	bovine
gaur	bovid
gaur	ruminant
gaur	ungulate
gaur	placental
gaur	mammal
gaur	vertebrate
gaur	chordate
gaur	animal
emu	emu
emu	ratite
pteridologist	person
pteridologist	organism
wireworm	animal
dropseed	grass
dropseed	herb
dropseed	plant
dropseed	actor
dropseed	performer
dropseed	entertainer
observer	observer
frotteur	person
frotteur	organism
maxillaria	flower
maxillaria	angiosperm
maxillaria	spermatophyte
maxillaria	plant
maxillaria	actor
maxillaria	performer
maxillaria	entertainer
wardress	worker
wardress	person
wardress	organism
bunting	finch
bunting	oscine
bunting	passerine
chlorella	protoctist
chlorella	microorganism
pipistrelle	placental
pipistrelle	mammal
pipistrelle	vertebrate
pipistrelle	chordate
pipistrelle	animal
gentleman	gentleman
fringepod	plant
fringepod	actor
fringepod	performer
fringepod	entertainer
fringepod	person
fringepod	organism
transcendentalist	scholar
transcendentalist	intellectual
cellist	musician
paster	workman
paster	employee
gerenuk	bovid
gerenuk	ruminant
gerenuk	ungulate
gerenuk	placental
gerenuk	mammal
gerenuk	vertebrate
gerenuk	chordate
gerenuk	animal
termite	insect
auteur	producer
gliricidia	tree
gliricidia	plant
gliricidia	actor
gliricidia	performer
gliricidia	entertainer
rapporteur	registrar
parrotfish	fish
parrotfish	vertebrate
parrotfish	chordate
parrotfish	animal
cow	cow
cob	horse
cob	equine
leatherleaf	shrub
leatherleaf	plant
leatherleaf	actor
leatherleaf	performer
leatherleaf	entertainer
cod	cod
cod	gadoid
avadavat	worker
avadavat	person
avadavat	organism
songstress	singer
songstress	musician
songstress	performer
songstress	entertainer
erwinia	microorganism
dawdler	nonworker
nonconformist	nonconformist
nonconformist	dissenter
naboom	plant
naboom	actor
naboom	performer
naboom	entertainer
naboom	person
naboom	organism
enologist	expert
enologist	person
enologist	organism
leech	follower
leech	traveler
butterweed	plant
butterweed	actor
butterweed	performer
butterweed	entertainer
butterweed	person
butterweed	organism
bootblack	person
froghopper	animal
froghopper	organism
plebeian	commoner
sidesman	assistant
sidesman	worker
sidesman	person
sidesman	organism
silverweed	shrub
silverweed	plant
silverweed	actor
silverweed	performer
silverweed	entertainer
silverweed	person
silverweed	organism
fetishist	wrongdoer
clairvoyant	psychic
clairvoyant	occultist
cytogeneticist	person
cytogeneticist	organism
foster-brother	person
foster-brother	organism
warbler	warbler
warbler	singer
nympholept	person
nympholept	organism
mugwort	shrub
mugwort	plant
mugwort	actor
mugwort	performer
mugwort	entertainer
dobson	dobson
dobson	neuropteron
plover	shorebird
coalman	employee
coalman	worker
coalman	person
coalman	organism
separatist	advocate
separatist	lawyer
separatist	professional
separatist	athlete
speller	writer
speller	literate
brake	brake
brake	fern
brake	pteridophyte
exile	exile
warthog	ungulate
marasca	plant
marasca	actor
marasca	performer
marasca	entertainer
marasca	person
marasca	organism
convalescent	unfortunate
diplodocus	reptile
diplodocus	vertebrate
diplodocus	chordate
diplodocus	animal
monarch	monarch
monarch	danaid
bunny	bunny
bunny	waitress
bunny	waiter
wapiti	deer
wapiti	ruminant
wapiti	ungulate
wapiti	placental
wapiti	mammal
wapiti	vertebrate
wapiti	chordate
eft	salamander
eft	amphibian
quira	tree
quira	plant
quira	actor
quira	performer
quira	entertainer
victualer	customer
victualer	consumer
victualer	user
victualer	person
victualer	organism
redneck	rustic
redneck	commoner
orthoepist	person
orthoepist	organism
cormorant	seabird
cormorant	bird
guenon	primate
guenon	placental
guenon	mammal
guenon	vertebrate
guenon	chordate
guenon	animal
skivvy	worker
oarfish	vertebrate
oarfish	chordate
oarfish	animal
oarfish	organism
devilwood	plant
devilwood	actor
devilwood	performer
devilwood	entertainer
devilwood	person
devilwood	organism
macaque	monkey
macaque	primate
indigo	indigo
kale	crucifer
chickweed	herb
analphabet	person
analphabet	organism
counterrevolutionist	person
counterrevolutionist	organism
waffler	communicator
faddist	person
faddist	organism
stepdaughter	child
stepdaughter	offspring
stepdaughter	relative
sabicu	plant
sabicu	actor
sabicu	performer
sabicu	entertainer
sabicu	person
sabicu	organism
bluehead	fish
bluehead	vertebrate
bluehead	chordate
bluehead	animal
trampler	person
trampler	organism
photographer	photographer
squawbush	plant
squawbush	actor
squawbush	performer
squawbush	entertainer
squawbush	person
squawbush	organism
wright	wright
basset	hound
basset	dog
basset	chap
basset	male
spawner	fish
spawner	vertebrate
spawner	chordate
spawner	animal
six-footer	person
six-footer	organism
boxer	boxer
boxer	combatant
ichthyosaur	vertebrate
ichthyosaur	chordate
ichthyosaur	animal
partridge	phasianid
towhead	person
towhead	organism
tarpon	fish
ragwort	plant
ragwort	actor
ragwort	performer
ragwort	entertainer
insurgent	radical
grizzly	grizzly
grizzly	bear
grizzly	investor
fieldfare	singer
fieldfare	musician
fieldfare	performer
fieldfare	entertainer
candytuft	flower
candytuft	angiosperm
candytuft	spermatophyte
candytuft	plant
candytuft	actor
candytuft	performer
candytuft	entertainer
sloucher	person
sloucher	organism
talapoin	placental
talapoin	mammal
talapoin	vertebrate
talapoin	chordate
talapoin	animal
talapoin	organism
firefly	firefly
firefly	beetle
honoree	recipient
honoree	acquirer
lasher	driver
orchis	flower
orchis	angiosperm
orchis	spermatophyte
orchis	plant
orchis	actor
orchis	performer
orchis	entertainer
synapsid	reptile
synapsid	vertebrate
synapsid	chordate
synapsid	animal
endoparasite	organism
dodderer	adult
dodderer	person
dodderer	organism
danseur	performer
danseur	entertainer
briard	dog
briard	chap
briard	male
pachysandra	shrub
pachysandra	plant
pachysandra	actor
pachysandra	performer
pachysandra	entertainer
plowman	laborer
plowman	workman
plowman	employee
orchid	orchid
denier	disputant
matriculate	collegian
matriculate	student
matriculate	enrollee
violinist	musician
repository	repository
repository	confidant
rhizopod	protoctist
rhizopod	microorganism
khan	khan
homeotherm	animal
homeotherm	organism
coral	coral
coral	anthozoan
coral	coelenterate
ivorybill	vertebrate
ivorybill	chordate
ivorybill	animal
ivorybill	organism
auk	seabird
octopus	octopus
octopus	octopod
octopus	cephalopod
octopus	mollusk
hatmaker	maker
hatmaker	creator
astrantia	herb
astrantia	plant
astrantia	actor
astrantia	performer
astrantia	entertainer
myxobacteria	organism
loir	rodent
loir	placental
loir	mammal
loir	vertebrate
loir	chordate
loir	animal
demimondaine	female
demimondaine	person
demimondaine	organism
wailer	unfortunate
burro	ass
burro	fool
burro	simpleton
cowherb	person
cowherb	organism
fetterbush	plant
fetterbush	actor
fetterbush	performer
fetterbush	entertainer
fetterbush	person
fetterbush	organism
nimblewill	herb
nimblewill	plant
nimblewill	actor
nimblewill	performer
nimblewill	entertainer
nimblewill	person
nimblewill	organism
bighorn	bovid
bighorn	ruminant
bighorn	ungulate
limpkin	bird
limpkin	vertebrate
limpkin	chordate
limpkin	animal
yakuza	gangster
yakuza	criminal
yakuza	principal
yakuza	financier
yakuza	capitalist
yakuza	conservative
mammillaria	plant
mammillaria	actor
mammillaria	performer
mammillaria	entertainer
crop	crop
veterinarian	veterinarian
veterinarian	doctor
veterinarian	scholar
emir	ruler
sprog	serviceman
chestnut	chestnut
promiser	communicator
promiser	person
promiser	organism
wolfhound	hound
wolfhound	dog
wolfhound	chap
wolfhound	male
luffa	vine
luffa	plant
heterostracan	organism
moll	criminal
moll	principal
moll	financier
potholer	person
potholer	organism
driftfish	vertebrate
driftfish	chordate
driftfish	animal
driftfish	organism
mold	mold
mold	fungus
mole	mole
mole	insectivore
gnathostome	vertebrate
gnathostome	chordate
gnathostome	animal
gnathostome	organism
dace	fish
surfperch	fish
surfperch	vertebrate
surfperch	chordate
surfperch	animal
jackknife-fish	organism
albizzia	tree
infielder	infielder
infielder	fielder
infielder	ballplayer
durmast	plant
durmast	actor
durmast	performer
durmast	entertainer
durmast	person
durmast	organism
anatomist	expert
scorer	laborer
scorer	workman
scorer	employee
hussar	soldier
hussar	serviceman
caraway	herb
pacer	racehorse
pacer	horse
pacer	equine
pacer	ungulate
signore	man
esthete	person
esthete	organism
dugong	placental
dugong	mammal
dugong	vertebrate
dugong	chordate
signora	wife
signora	spouse
signora	relative
devisor	person
devisor	organism
animator	technician
matron	wife
matron	spouse
matron	relative
consul	diplomat
switcher	oppressor
pachyderm	placental
pachyderm	mammal
pachyderm	vertebrate
pachyderm	chordate
pachyderm	animal
executant	performer
executant	entertainer
executant	person
executant	organism
dallisgrass	herb
dallisgrass	plant
dallisgrass	actor
dallisgrass	performer
dallisgrass	entertainer
dallisgrass	person
dallisgrass	organism
grape	grape
dragonet	fish
dragonet	vertebrate
dragonet	chordate
dragonet	animal
foe	foe
foe	rival
jogger	runner
jogger	messenger
jogger	traveler
busboy	employee
manicurist	craftsman
mallee	tree
terror	terror
terror	imp
idealist	idealist
idealist	visionary
tub-thumper	communicator
tub-thumper	person
tub-thumper	organism
vegan	vegan
vegan	vegetarian
vegan	eater
falconer	hunter
kitten	kitten
lancelet	chordate
lancelet	animal
homeowner	homeowner
ophthalmologist	specialist
ophthalmologist	expert
presenter	presenter
pollack	gadoid
pollack	fish
bullbrier	performer
bullbrier	entertainer
bullbrier	person
bullbrier	organism
leptospira	microorganism
baggageman	attendant
baggageman	assistant
baggageman	worker
baggageman	person
baggageman	organism
brave	brave
brave	warrior
trichina	person
trichina	organism
spoonbill	bird
spoonbill	vertebrate
spoonbill	chordate
squirrelfish	fish
squirrelfish	vertebrate
squirrelfish	chordate
squirrelfish	animal
economist	economist
wheedler	person
wheedler	organism
tarantula	spider
tarantula	arachnid
tarantula	arthropod
tarantula	invertebrate
setter	dog
setter	chap
logomach	person
logomach	organism
velociraptor	diapsid
velociraptor	reptile
velociraptor	vertebrate
velociraptor	chordate
velociraptor	animal
genet	genet
genet	viverrine
genet	carnivore
genet	predator
astrophysicist	scientist
kingwood	tree
precursor	precursor
plotter	clerk
plotter	employee
petitioner	petitioner
ground-shaker	vertebrate
ground-shaker	chordate
ground-shaker	animal
ground-shaker	organism
cat's-ear	plant
cat's-ear	actor
cat's-ear	performer
cat's-ear	entertainer
cat's-ear	person
cat's-ear	organism
puffer	fish
retiree	retiree
retiree	nonworker
fundamentalist	Christian
eriogonum	shrub
eriogonum	plant
eriogonum	actor
eriogonum	performer
eriogonum	entertainer
bullock	bullock
jabiru	bird
jabiru	vertebrate
jabiru	chordate
jabiru	animal
osteologist	person
osteologist	organism
ornithopod	vertebrate
ornithopod	chordate
ornithopod	animal
ornithopod	organism
wagonwright	worker
wagonwright	person
wagonwright	organism
great-aunt	kinswoman
great-aunt	relative
cayuse	horse
cayuse	equine
cayuse	ungulate
cayuse	placental
cayuse	mammal
cayuse	vertebrate
cayuse	chordate
conquistador	explorer
procyonid	carnivore
procyonid	predator
primipara	superior
primipara	religious
primipara	person
primipara	organism
privateer	officer
privateer	mariner
privateer	sailor
philodendron	vine
philodendron	plant
philodendron	actor
philodendron	performer
philodendron	entertainer
riflebird	plant
riflebird	actor
riflebird	performer
riflebird	entertainer
riflebird	person
riflebird	organism
linesman	official
palometa	vertebrate
palometa	chordate
palometa	animal
palometa	organism
exhibitor	exhibitor
exhibitor	showman
exhibitor	booker
officeholder	official
beluga	fish
towhee	oscine
towhee	passerine
towhee	bird
towhee	vertebrate
towhee	chordate
tonguefish	vertebrate
tonguefish	chordate
tonguefish	animal
tonguefish	organism
enophile	person
enophile	organism
inferior	inferior
catechist	teacher
catechist	educator
catechist	professional
catechist	athlete
catechist	contestant
chit	girl
gymnosperm	spermatophyte
anteater	placental
anteater	mammal
anteater	vertebrate
anteater	chordate
cabalist	member
cabalist	associate
cabalist	subordinate
cabalist	assistant
cabalist	worker
hatchling	young
sycophant	follower
sycophant	traveler
bankrupt	bankrupt
bankrupt	failure
galax	herb
snapdragon	flower
snapdragon	angiosperm
snapdragon	spermatophyte
snapdragon	plant
snapdragon	actor
moosewood	tree
moosewood	plant
moosewood	actor
moosewood	performer
moosewood	entertainer
bottom-feeder	bottom-feeder
bottom-feeder	scavenger
muntjac	ruminant
muntjac	ungulate
muntjac	placental
muntjac	mammal
muntjac	vertebrate
muntjac	chordate
muntjac	animal
lapin	leporid
lapin	lagomorph
lapin	placental
lapin	mammal
iguanodon	reptile
iguanodon	vertebrate
iguanodon	chordate
iguanodon	animal
grandson	grandson
grandson	grandchild
vomiter	person
vomiter	organism
housewrecker	worker
housewrecker	person
housewrecker	organism
stilt	shorebird
stilt	bird
colt	colt
colt	foal
hortensia	shrub
hortensia	plant
hortensia	actor
hortensia	performer
hortensia	entertainer
myope	person
myope	organism
cotter	slave
defecator	person
defecator	organism
ephedra	ephedra
thornbill	bird
thornbill	vertebrate
thornbill	chordate
thornbill	animal
bunji-bunji	person
bunji-bunji	organism
hisser	communicator
hisser	person
hisser	organism
kinkajou	animal
hewer	laborer
hewer	workman
hewer	employee
bonefish	fish
footpad	criminal
footpad	principal
footpad	financier
footpad	capitalist
footpad	conservative
footpad	adult
nuthatch	oscine
nuthatch	passerine
nuthatch	bird
anapsid	anapsid
rake	rake
rake	libertine
backswimmer	animal
backswimmer	organism
ex-gambler	person
ex-gambler	organism
urodele	vertebrate
urodele	chordate
urodele	animal
urodele	organism
honker	bird
honker	vertebrate
honker	chordate
honker	animal
nematode	worm
forsythia	shrub
forsythia	plant
forsythia	actor
forsythia	performer
forsythia	entertainer
cairn	terrier
cairn	dog
cairn	chap
cairn	male
mayapple	herb
mayapple	plant
mayapple	actor
mayapple	performer
mayapple	entertainer
record-breaker	defender
record-breaker	preserver
record-breaker	cook
record-breaker	worker
goose	goose
goose	waterfowl
alliterator	person
alliterator	organism
oncidium	flower
oncidium	angiosperm
oncidium	spermatophyte
oncidium	plant
oncidium	actor
oncidium	performer
oncidium	entertainer
canvasback	bird
canvasback	vertebrate
canvasback	chordate
canvasback	animal
sculpin	fish
salutatorian	scholar
salutatorian	intellectual
kuvasz	defender
kuvasz	preserver
kuvasz	cook
adducer	assistant
adducer	worker
adducer	person
adducer	organism
worshiper	lover
songster	singer
songster	musician
macrozamia	spermatophyte
macrozamia	plant
macrozamia	actor
macrozamia	performer
macrozamia	entertainer
macrozamia	person
macrozamia	organism
dairymaid	employee
dairymaid	worker
dairymaid	person
dairymaid	organism
carp	carp
carp	cyprinid
virtuoso	musician
existentialist	scholar
existentialist	intellectual
sassaby	vertebrate
sassaby	chordate
sassaby	animal
sassaby	organism
prospector	miner
prospector	laborer
prospector	workman
prospector	employee
dorbeetle	organism
arrowsmith	smith
ringdove	adult
ringdove	person
ringdove	organism
redbone	dog
redbone	chap
redbone	male
absconder	criminal
absconder	principal
absconder	financier
absconder	capitalist
absconder	conservative
absconder	adult
good-king-henry	person
good-king-henry	organism
doliolum	chordate
doliolum	animal
doliolum	organism
pornographer	agent
pornographer	official
polymastigote	organism
weightlifter	athlete
weightlifter	contestant
cassava	shrub
bantamweight	combatant
checker	checker
silene	flower
silene	angiosperm
silene	spermatophyte
silene	plant
silene	actor
silene	performer
silene	entertainer
chimaera	fish
chimaera	vertebrate
chimaera	chordate
pomologist	person
pomologist	organism
scalper	scalper
scalper	speculator
scalper	thinker
ice-skater	athlete
ice-skater	contestant
moderationist	person
moderationist	organism
remount	horse
remount	equine
remount	ungulate
remount	placental
remount	mammal
remount	vertebrate
remount	chordate
sniffler	person
sniffler	organism
mockernut	plant
mockernut	actor
mockernut	performer
mockernut	entertainer
mockernut	person
mockernut	organism
recruit	recruit
coralberry	shrub
coralberry	plant
coralberry	actor
coralberry	performer
coralberry	entertainer
coralberry	person
coralberry	organism
goby	fish
luncher	consumer
luncher	user
luncher	person
luncher	organism
pointsman	worker
pointsman	person
pointsman	organism
knotgrass	herb
knotgrass	plant
knotgrass	actor
knotgrass	performer
knotgrass	entertainer
knotgrass	person
knotgrass	organism
suffragette	reformer
suffragette	disputant
Podaxaceae	organism
inpatient	inpatient
inpatient	patient
redhorse	consumer
redhorse	user
plumbago	herb
plumbago	plant
plumbago	actor
plumbago	performer
plumbago	entertainer
veteran	veteran
antbird	passerine
antbird	bird
antbird	vertebrate
antbird	chordate
antbird	animal
distortionist	worker
distortionist	person
distortionist	organism
hornbill	bird
hornbill	vertebrate
hornbill	chordate
postmaster	master
postmaster	officer
postmaster	mariner
postmaster	sailor
assenter	person
assenter	organism
mountaineer	climber
mountaineer	vine
carpenteria	shrub
carpenteria	plant
carpenteria	actor
carpenteria	performer
carpenteria	entertainer
virologist	scientist
teredo	invertebrate
teredo	animal
barrelfish	vertebrate
barrelfish	chordate
barrelfish	animal
barrelfish	organism
third-rater	person
third-rater	organism
ironmonger	merchant
ironmonger	businessperson
ironmonger	capitalist
ironmonger	conservative
ironmonger	adult
kittiwake	bird
kittiwake	vertebrate
kittiwake	chordate
kittiwake	animal
palmetto	palm
woodworker	woodworker
titmouse	oscine
titmouse	passerine
titmouse	bird
numismatist	worker
tarweed	herb
tarweed	plant
tarweed	actor
tarweed	performer
tarweed	entertainer
scissortail	bird
scissortail	vertebrate
scissortail	chordate
scissortail	animal
scissortail	organism
coxswain	mariner
coxswain	sailor
cordgrass	grass
cordgrass	herb
cordgrass	plant
cordgrass	actor
cordgrass	performer
cordgrass	entertainer
sierra	sierra
sierra	mackerel
sierra	scombroid
wheatgrass	grass
wheatgrass	herb
medlar	tree
medlar	plant
medlar	actor
medlar	performer
medlar	entertainer
elecampane	herb
elecampane	plant
elecampane	actor
elecampane	performer
elecampane	entertainer
spurge	shrub
octogenarian	adult
spikemoss	plant
spikemoss	actor
spikemoss	performer
spikemoss	entertainer
spikemoss	person
spikemoss	organism
imposter	wrongdoer
shipwright	craftsman
cicerone	guide
cicerone	leader
cynodont	vertebrate
cynodont	chordate
cynodont	animal
cynodont	organism
concert-goer	consumer
concert-goer	user
concert-goer	person
whippet	snake
ethnarch	person
ethnarch	organism
struthiomimus	vertebrate
struthiomimus	chordate
struthiomimus	animal
struthiomimus	organism
bagman	criminal
bagman	principal
bagman	financier
bagman	capitalist
bagman	conservative
bagman	adult
shearwater	seabird
shearwater	bird
emigrant	migrant
emigrant	traveler
animist	follower
animist	traveler
cycad	spermatophyte
diocesan	bishop
diocesan	priest
diocesan	clergyman
monk	monk
counterperson	employee
counterperson	worker
marumi	tree
marumi	plant
marumi	actor
marumi	performer
marumi	entertainer
lemon	lemon
comer	rival
Englishman	Englishman
Englishman	Britisher
Englishman	European
Englishman	inhabitant
biographer	writer
biographer	literate
perinatologist	expert
doughboy	soldier
doughboy	serviceman
lioness	lion
lioness	celebrity
dictator	dictator
informer	informer
informer	informant
defoliator	insect
defoliator	arthropod
defoliator	invertebrate
defoliator	animal
defoliator	organism
arrowroot	herb
arrowroot	plant
arrowroot	actor
arrowroot	performer
arrowroot	entertainer
goral	bovid
goral	ruminant
goral	ungulate
goral	placental
goral	mammal
goral	vertebrate
goral	chordate
goral	animal
drum	drum
weigela	shrub
weigela	plant
weigela	actor
weigela	performer
weigela	entertainer
buster	buster
buster	horseman
buster	rider
scup	fish
scup	vertebrate
scup	chordate
scup	animal
pedant	scholar
pedant	intellectual
archduchess	aristocrat
archduchess	leader
biped	animal
cherub	baby
cherub	child
cherub	offspring
sorghum	sorghum
sorghum	millet
sorghum	cereal
sorghum	grass
brazilwood	tree
brazilwood	plant
brazilwood	actor
brazilwood	performer
brazilwood	entertainer
alcoholic	alcoholic
alcoholic	drunkard
alcoholic	drinker
ramp	ramp
calliopsis	plant
calliopsis	actor
calliopsis	performer
calliopsis	entertainer
calliopsis	person
calliopsis	organism
commander	commander
pawnbroker	investor
pawnbroker	capitalist
pawnbroker	conservative
pawnbroker	adult
stewardess	officer
stewardess	mariner
stewardess	sailor
beaver	beaver
petunia	flower
petunia	angiosperm
petunia	spermatophyte
fatalist	scholar
fatalist	intellectual
acacia	acacia
prickleback	vertebrate
prickleback	chordate
prickleback	animal
prickleback	organism
medic	medic
echinocactus	plant
echinocactus	actor
echinocactus	performer
echinocactus	entertainer
aphid	insect
aphid	arthropod
aphid	invertebrate
metalhead	fan
metalhead	follower
metalhead	traveler
capybara	placental
capybara	mammal
capybara	vertebrate
capybara	chordate
capybara	animal
sapodilla	tree
sapodilla	plant
sapodilla	actor
sapodilla	performer
sapodilla	entertainer
foal	foal
stepparent	parent
stepparent	genitor
stepparent	progenitor
stepparent	ancestor
busker	entertainer
arbitrageur	businessman
arbitrageur	businessperson
arbitrageur	capitalist
arbitrageur	conservative
arbitrageur	adult
squatter	intruder
charger	charger
charger	warhorse
poplar	poplar
molester	wrongdoer
muleteer	employee
muleteer	worker
muleteer	person
muleteer	organism
Nazi	conservative
Nazi	adult
growler	speaker
growler	articulator
growler	communicator
blolly	shrub
blolly	plant
blolly	actor
blolly	performer
blolly	entertainer
blolly	person
blolly	organism
aoudad	ruminant
aoudad	ungulate
aoudad	placental
aoudad	mammal
aoudad	vertebrate
aoudad	chordate
aoudad	animal
slugger	boxer
slugger	combatant
threadfish	person
threadfish	organism
testacean	organism
spot-welder	worker
spot-welder	person
spot-welder	organism
sandfish	fish
sandfish	vertebrate
sandfish	chordate
sandfish	animal
sandfish	organism
symbolist	artist
symbolist	creator
groundling	person
groundling	organism
gastroenterologist	doctor
gastroenterologist	scholar
gastroenterologist	intellectual
